case,policy_seed,portfolio,value_ppo,economic_value_ppo,expected_loss_ppo,value_myopic,economic_value_myopic,expected_loss_myopic,lower_initial_value_higher_total
constant_budget_stress,202,17,-1420.5952429378328,618.0695622950268,2562.1267711142573,-1702.9856654704952,613.7418676490578,2673.599989067965,False
constant_budget_stress,202,18,-1464.882097303918,520.2253915266344,1677.8984927186964,-1881.0846181164272,522.8626883600732,1783.8642528278765,True
constant_budget_stress,202,19,-1838.5499223918528,-2778.7764900189127,2076.031636260238,-2401.244448315684,-2785.156796133829,2127.464982863988,False
constant_budget_stress,202,20,-1322.957365794741,432.6428091177996,1075.1667568877017,-2115.6645507611,440.2772130145306,1374.1149442333622,True
constant_budget_stress,202,21,-1073.985598462266,592.232020621375,1573.6656997444018,-1404.3452494108978,596.116140081609,1760.5758617509114,True
constant_budget_stress,202,22,-1080.2430872740642,404.44808901980383,1469.8692468689474,-1059.4115985066212,409.7764700331851,1798.8554083595084,False
constant_budget_stress,202,23,-1105.855353440833,510.0532417648678,2140.2569745139194,-1624.192278964036,517.9744382545614,2282.4697748239414,True
constant_budget_stress,303,0,-888.4748500696629,653.056902077979,1710.2125746258953,-1818.844072151369,658.7320672675684,1916.6089787968767,True
constant_budget_stress,303,1,-840.6671095318035,557.3294986371382,2328.8229967001016,-1903.3788010958956,562.1733139510045,2583.145680492088,True
constant_budget_stress,303,2,-907.2327214872912,-2874.147939852008,1563.8262977715162,-1516.7667539840097,-2959.125490753533,1770.3604322807062,False
constant_budget_stress,303,3,-1553.7999032444202,-3276.0475996053347,1841.9961045077405,-2516.1048267296705,-3307.96190561788,2010.087639284838,False
constant_budget_stress,303,4,-1189.192960716938,574.0699205741614,2107.474396892881,-2801.387645754478,578.6452982852114,2328.386658210813,True
constant_budget_stress,303,5,-1135.69194945647,559.6897463923618,2182.2550730204634,-2326.7993883858226,563.1538421030872,2360.8717870678984,True
constant_budget_stress,303,6,-933.523850503535,603.2429281059522,1483.676261295325,-2024.334813572176,611.771651634135,1731.6316728652575,True
constant_budget_stress,303,7,-490.2214810767096,753.743399079888,1607.2880659708978,-1525.9736255838843,761.4919466553063,1801.877266975494,True
constant_budget_stress,303,8,-339.62994346209325,-1358.0667586471334,1821.72855694025,-979.4030304261612,-1383.6831751705486,1976.3087091281463,False
constant_budget_stress,303,9,-776.1448875054551,644.0647628093978,1433.3557306149262,-2269.999797959949,658.4291288038271,1773.690056558446,True
constant_budget_stress,303,10,-1022.452030963865,750.8160226366165,2380.8719175994224,-1691.1915744788464,755.3846062983724,2623.056905616905,True
constant_budget_stress,303,11,-205.09452976828356,524.5754999067522,1525.6842169675149,-964.0245590767624,532.6151274931702,1776.5984103731766,True
constant_budget_stress,303,12,-317.6986800784462,543.0852552751167,1348.2514242284308,-1019.7850702007026,551.2282485009347,1735.868738249374,True
constant_budget_stress,303,13,-377.14163875193816,548.9403244474631,1737.2630392885403,-1013.2180751193814,552.6479382049833,1910.7960067185973,True
constant_budget_stress,303,14,-985.507320310074,699.3787984066623,2187.802121141309,-2020.973094734798,704.5464727768795,2479.031671092396,True
constant_budget_stress,303,15,-562.5624710917601,500.4587157884186,1821.8353233632188,-1942.0450078474664,502.5646062292613,1997.6638799253344,True
constant_budget_stress,303,16,-912.1347145268104,391.4911151225588,1307.5353154514032,-2023.9166812821677,399.4058238972588,1645.2163432263492,True
constant_budget_stress,303,17,-1247.565301167565,611.2705633071662,2459.035530057741,-1702.9856654704952,613.7418676490578,2673.599989067965,True
constant_budget_stress,303,18,-1153.2555702710615,519.6079520838749,1628.8333679820291,-1881.0846181164272,522.8626883600732,1783.8642528278765,True
constant_budget_stress,303,19,-1127.7667102969983,-2367.013722945698,1967.775726185396,-2401.244448315684,-2785.156796133829,2127.464982863988,False
