case,policy,reference,metric,difference,lower,upper
buffer_1.0,RiskBased,Greedy,true_violation_rate,0.04885912698412699,-0.005208333333333336,0.10491071428571427
buffer_1.0,RiskBased,Myopic,true_violation_rate,0.008928571428571418,-0.0625,0.08407738095238096
buffer_1.0,RiskBased,Decrease20,true_violation_rate,0.17665216727716732,0.06959678342490846,0.27866128663003664
buffer_1.0,Static,Greedy,value,-511.19687992650364,-681.0813667951306,-319.6896202011076
buffer_1.0,Static,Myopic,value,-312.040247468105,-552.5590028973814,-42.951324553874414
buffer_1.0,Static,Decrease20,value,-1411.6958329964066,-1553.3566771889602,-1260.799228239423
buffer_1.0,Static,Greedy,loss,562.5796971400539,383.2464203690803,730.1109202690664
buffer_1.0,Static,Myopic,loss,393.8777641171556,146.81787278034398,636.0562558953567
buffer_1.0,Static,Decrease20,loss,1762.1666900780635,1632.0996779086684,1878.8874776952032
buffer_1.0,Static,Greedy,default_rate,0.010416666666666685,-0.020833333333333315,0.041666666666666685
buffer_1.0,Static,Myopic,default_rate,-0.052083333333333315,-0.09375,-0.010416666666666637
buffer_1.0,Static,Decrease20,default_rate,-0.05208333333333333,-0.09375000000000001,-0.010416666666666644
buffer_1.0,Static,Greedy,el_violation_rate,0.08593749999999999,0.037695312499999994,0.12760416666666663
buffer_1.0,Static,Myopic,el_violation_rate,0.14322916666666666,0.10800781250000001,0.17708333333333334
buffer_1.0,Static,Decrease20,el_violation_rate,0.4531879578754579,0.3456858115842491,0.5502734375
buffer_1.0,Static,Greedy,true_violation_rate,0.09114583333333334,0.04687500000000001,0.13020833333333334
buffer_1.0,Static,Myopic,true_violation_rate,0.051215277777777776,0.012152777777777783,0.09594184027777776
buffer_1.0,Static,Decrease20,true_violation_rate,0.21893887362637365,0.12951636904761907,0.3117508012820513
buffer_1.1,BufferedRiskBased,Static,value,663.6081707831592,531.53155201671,779.6175901318275
buffer_1.1,BufferedRiskBased,Greedy,value,62.541512866993756,-69.47195804920071,198.25618671853223
buffer_1.1,BufferedRiskBased,Myopic,value,24.21573019398909,-105.81895620629909,186.36782976790118
buffer_1.1,BufferedRiskBased,Decrease20,value,-748.0876622132475,-896.7904594191731,-594.1263553333248
buffer_1.1,BufferedRiskBased,Static,loss,-795.6701689637914,-904.059764353794,-676.9973266152597
buffer_1.1,BufferedRiskBased,Greedy,loss,-115.72776796489512,-234.09342356130782,21.3475331331823
buffer_1.1,BufferedRiskBased,Myopic,loss,-36.618994331346755,-196.54744307715126,94.78684988251072
buffer_1.1,BufferedRiskBased,Decrease20,loss,966.4965211142721,834.9910262951076,1123.265061440976
buffer_1.1,BufferedRiskBased,Static,default_rate,0.041666666666666644,-3.5041414214731484e-17,0.08333333333333333
buffer_1.1,BufferedRiskBased,Greedy,default_rate,0.04166666666666666,0.015364583333333341,0.07291666666666663
buffer_1.1,BufferedRiskBased,Myopic,default_rate,-0.010416666666666671,-0.031250000000000014,0.0
buffer_1.1,BufferedRiskBased,Decrease20,default_rate,-0.010416666666666685,-0.041666666666666685,0.026302083333333066
buffer_1.1,BufferedRiskBased,Static,el_violation_rate,-0.3165922619047619,-0.4010416666666667,-0.22693452380952384
buffer_1.1,BufferedRiskBased,Greedy,el_violation_rate,-0.2775297619047619,-0.375,-0.17888764880952387
buffer_1.1,BufferedRiskBased,Myopic,el_violation_rate,-0.2790178571428571,-0.3679501488095238,-0.18891369047619053
buffer_1.1,BufferedRiskBased,Decrease20,el_violation_rate,0.028170787545787553,-0.09311441163003663,0.13705729166666664
buffer_1.1,BufferedRiskBased,Static,true_violation_rate,-0.04228670634920636,-0.12198350694444444,0.04241071428571428
buffer_1.1,BufferedRiskBased,Greedy,true_violation_rate,0.06448412698412698,-0.006826636904761906,0.13616071428571425
buffer_1.1,BufferedRiskBased,Myopic,true_violation_rate,0.0069444444444444475,-0.03389756944444443,0.04431423611111107
buffer_1.1,BufferedRiskBased,Decrease20,true_violation_rate,0.17665216727716732,0.06959678342490846,0.27866128663003664
buffer_1.1,Decrease20,Static,value,1411.6958329964066,1260.799228239423,1553.3566771889602
buffer_1.1,Decrease20,Greedy,value,810.6291750802412,692.5566809483146,932.7897500400983
buffer_1.1,Decrease20,Myopic,value,772.3033924072365,667.412884912101,868.3287579992398
buffer_1.1,Decrease20,Static,loss,-1762.1666900780635,-1878.8874776952032,-1632.0996779086686
buffer_1.1,Decrease20,Greedy,loss,-1082.2242890791672,-1212.7940377263374,-969.4180740137961
buffer_1.1,Decrease20,Myopic,loss,-1003.1155154456189,-1096.16977648105,-901.0648809326126
buffer_1.1,Decrease20,Static,default_rate,0.05208333333333333,0.010416666666666644,0.09375000000000001
buffer_1.1,Decrease20,Greedy,default_rate,0.05208333333333334,0.020833333333333343,0.0729166666666667
buffer_1.1,Decrease20,Myopic,default_rate,1.3877787807814457e-17,-0.031249999999999972,0.020833333333333363
buffer_1.1,Decrease20,Static,el_violation_rate,-0.3447630494505495,-0.4828645833333334,-0.1958882783882784
buffer_1.1,Decrease20,Greedy,el_violation_rate,-0.3057005494505495,-0.4503305288461539,-0.14424908424908425
buffer_1.1,Decrease20,Myopic,el_violation_rate,-0.3071886446886447,-0.4381882440476191,-0.1490839629120879
buffer_1.1,Decrease20,Static,true_violation_rate,-0.21893887362637365,-0.3117508012820513,-0.1295163690476191
buffer_1.1,Decrease20,Greedy,true_violation_rate,-0.11216804029304032,-0.16722756410256417,-0.050232085622710664
buffer_1.1,Decrease20,Myopic,true_violation_rate,-0.16970772283272284,-0.2545026327838828,-0.08467261904761907
buffer_1.1,Greedy,Static,value,601.0666579161655,453.6560242212654,751.5457642815566
buffer_1.1,Greedy,Myopic,value,-38.32578267300467,-132.13086126580592,69.5126143716415
buffer_1.1,Greedy,Decrease20,value,-810.6291750802412,-932.7897500400983,-692.5566809483146
buffer_1.1,Greedy,Static,loss,-679.9424009988963,-828.4019657308867,-534.5219041822654
buffer_1.1,Greedy,Myopic,loss,79.10877363354837,-34.12011157956982,180.46722144924743
buffer_1.1,Greedy,Decrease20,loss,1082.2242890791672,969.4180740137961,1212.7940377263374
buffer_1.1,Greedy,Static,default_rate,-1.3877787807814457e-17,-0.020833333333333356,0.031249999999999965
buffer_1.1,Greedy,Myopic,default_rate,-0.05208333333333333,-0.07291666666666669,-0.031249999999999972
buffer_1.1,Greedy,Decrease20,default_rate,-0.05208333333333334,-0.0729166666666667,-0.020833333333333343
buffer_1.1,Greedy,Static,el_violation_rate,-0.0390625,-0.09895833333333336,0.031249999999999993
buffer_1.1,Greedy,Myopic,el_violation_rate,-0.0014880952380952259,-0.1287574404761905,0.10937500000000003
buffer_1.1,Greedy,Decrease20,el_violation_rate,0.3057005494505495,0.14424908424908423,0.45033052884615377
buffer_1.1,Greedy,Static,true_violation_rate,-0.10677083333333334,-0.14980468749999998,-0.0625
buffer_1.1,Greedy,Myopic,true_violation_rate,-0.05753968253968253,-0.12053571428571426,-0.0017361111111111084
buffer_1.1,Greedy,Decrease20,true_violation_rate,0.11216804029304032,0.05023208562271065,0.16722756410256417
buffer_1.1,Myopic,Static,value,639.3924405891701,472.72876935865514,808.8433992637454
buffer_1.1,Myopic,Greedy,value,38.32578267300467,-69.5126143716415,132.1308612658059
buffer_1.1,Myopic,Decrease20,value,-772.3033924072365,-868.3287579992399,-667.412884912101
buffer_1.1,Myopic,Static,loss,-759.0511746324448,-919.5145991958411,-601.049824243282
buffer_1.1,Myopic,Greedy,loss,-79.10877363354837,-180.46722144924743,34.12011157956974
buffer_1.1,Myopic,Decrease20,loss,1003.1155154456189,901.0648809326126,1096.16977648105
buffer_1.1,Myopic,Static,default_rate,0.052083333333333315,0.010416666666666637,0.09375
buffer_1.1,Myopic,Greedy,default_rate,0.05208333333333333,0.031249999999999972,0.07291666666666669
buffer_1.1,Myopic,Decrease20,default_rate,-1.3877787807814457e-17,-0.020833333333333363,0.031249999999999972
buffer_1.1,Myopic,Static,el_violation_rate,-0.037574404761904774,-0.1640625,0.08922061011904753
buffer_1.1,Myopic,Greedy,el_violation_rate,0.0014880952380952259,-0.10937500000000003,0.12875744047619048
buffer_1.1,Myopic,Decrease20,el_violation_rate,0.3071886446886447,0.1490839629120879,0.438188244047619
buffer_1.1,Myopic,Static,true_violation_rate,-0.049231150793650806,-0.13020833333333337,0.045765128968253944
buffer_1.1,Myopic,Greedy,true_violation_rate,0.05753968253968253,0.0017361111111111084,0.12053571428571426
buffer_1.1,Myopic,Decrease20,true_violation_rate,0.16970772283272284,0.08467261904761907,0.25450263278388274
buffer_1.1,PPO_hard,Static,value,1189.6021805924347,969.4703095632732,1397.7961363134243
buffer_1.1,PPO_hard,Greedy,value,588.5355226762694,411.3231282275683,799.0761794646071
buffer_1.1,PPO_hard,Myopic,value,550.2097400032646,379.5647395263947,749.4919485541432
buffer_1.1,PPO_hard,Decrease20,value,-222.0936524039719,-386.28068651012336,-67.38910854198942
buffer_1.1,PPO_hard,Static,loss,-1443.4931168934133,-1694.4753468010647,-1188.4512305483022
