policy,feature,bucket,decisions,requested_change,effective_change,increase_rate,rejection_rate
Decrease20,income,"(-0.001, 1500.0]",201,-0.1999999999999999,-0.11595569053939175,0.0,0.0
Decrease20,income,"(1500.0, 3000.0]",1666,-0.1999999999999999,-0.12030712157234923,0.0,0.0012004801920768306
Decrease20,income,"(3000.0, 5000.0]",1358,-0.19999999999999993,-0.13872517969318449,0.0,0.0
Decrease20,income,"(5000.0, 100000.0]",418,-0.19999999999999993,-0.16450716208597507,0.0,0.0
Greedy,income,"(-0.001, 1500.0]",291,0.04982817869415808,0.038296067510955906,0.5292096219931272,0.09621993127147767
Greedy,income,"(1500.0, 3000.0]",1946,0.036022610483042145,0.022791294050540124,0.3997944501541624,0.10328879753340185
Greedy,income,"(3000.0, 5000.0]",1674,0.023536439665471927,0.010788917988995202,0.2819593787335723,0.08960573476702509
Greedy,income,"(5000.0, 100000.0]",547,0.0012797074954296315,-0.009383968820952276,0.21755027422303475,0.06581352833638025
Myopic,income,"(-0.001, 1500.0]",292,0.07876712328767121,0.0586261556443036,0.4828767123287671,0.1232876712328767
Myopic,income,"(1500.0, 3000.0]",1941,0.06048428645028334,0.033695067936591966,0.371973209685729,0.15043791859866049
Myopic,income,"(3000.0, 5000.0]",1661,0.044009632751354597,0.018092759659202283,0.29078868151715836,0.1432871763997592
Myopic,income,"(5000.0, 100000.0]",556,0.03938848920863308,0.006870011226456156,0.23381294964028776,0.17805755395683454
PPO_hard,income,"(-0.001, 1500.0]",725,-0.11034482758620681,-0.08088371406887847,0.0,0.0
PPO_hard,income,"(1500.0, 3000.0]",5418,-0.11500553709856028,-0.08827378997064843,0.0,0.0005537098560354374
PPO_hard,income,"(3000.0, 5000.0]",4447,-0.11418934112885083,-0.09505526297215422,0.0,0.0
PPO_hard,income,"(5000.0, 100000.0]",1483,-0.1091706001348617,-0.09916655006873736,0.0,0.0
PPO_penalty,income,"(-0.001, 1500.0]",603,-0.19999999999999996,-0.11595569053939175,0.0,0.0
PPO_penalty,income,"(1500.0, 3000.0]",4998,-0.19999999999999993,-0.12030712157234923,0.0,0.0
PPO_penalty,income,"(3000.0, 5000.0]",4074,-0.19999999999999987,-0.13872517969318449,0.0,0.0
PPO_penalty,income,"(5000.0, 100000.0]",1254,-0.19999999999999993,-0.16450716208597504,0.0,0.0
PPO_unconstrained,income,"(-0.001, 1500.0]",603,-0.19999999999999996,-0.11595569053939175,0.0,0.0
PPO_unconstrained,income,"(1500.0, 3000.0]",4998,-0.19999999999999993,-0.12030712157234923,0.0,0.0
PPO_unconstrained,income,"(3000.0, 5000.0]",4074,-0.19999999999999987,-0.13872517969318449,0.0,0.0
PPO_unconstrained,income,"(5000.0, 100000.0]",1254,-0.19999999999999993,-0.16450716208597504,0.0,0.0
RiskBased,income,"(-0.001, 1500.0]",259,-0.032818532818532774,-0.034914611508208515,0.11196911196911197,0.019305019305019305
RiskBased,income,"(1500.0, 3000.0]",1840,-0.026630434782608653,-0.02855609761644654,0.10326086956521739,0.01684782608695652
RiskBased,income,"(3000.0, 5000.0]",1541,-0.02790395846852689,-0.03019323293345874,0.09085009733939,0.01752109020116807
RiskBased,income,"(5000.0, 100000.0]",511,-0.03953033268101757,-0.039998253124932,0.0410958904109589,0.0
Static,income,"(-0.001, 1500.0]",274,0.0,0.0,0.0,0.0
Static,income,"(1500.0, 3000.0]",1855,0.0,0.0,0.0,0.0
Static,income,"(3000.0, 5000.0]",1608,0.0,0.0,0.0,0.0
Static,income,"(5000.0, 100000.0]",504,0.0,0.0,0.0,0.0
BufferedRiskBased,score,"(-0.001, 500.0]",67,-0.09402985074626853,-0.09402985074626853,0.0,0.0
BufferedRiskBased,score,"(500.0, 650.0]",1454,-0.07097661623108657,-0.07162131027185262,0.02200825309491059,0.006189821182943604
BufferedRiskBased,score,"(650.0, 800.0]",2406,-0.008312551953449685,-0.010030516185375645,0.11679135494596841,0.012468827930174564
BufferedRiskBased,score,"(800.0, 1000.0]",224,0.03928571428571429,0.026865284754909322,0.29910714285714285,0.10714285714285714
Decrease20,score,"(-0.001, 500.0]",41,-0.1999999999999999,-0.19512195121951212,0.0,0.0
Decrease20,score,"(500.0, 650.0]",1229,-0.19999999999999993,-0.14899072706082972,0.0,0.0
Decrease20,score,"(650.0, 800.0]",2156,-0.19999999999999993,-0.12348839051688867,0.0,0.00046382189239332097
Decrease20,score,"(800.0, 1000.0]",217,-0.1999999999999999,-0.10848374470535481,0.0,0.004608294930875576
Greedy,score,"(-0.001, 500.0]",69,-0.0028985507246376678,-0.015942028985507235,0.028985507246376812,0.13043478260869565
Greedy,score,"(500.0, 650.0]",1630,0.02141104294478529,0.00945280226695069,0.3128834355828221,0.09141104294478528
Greedy,score,"(650.0, 800.0]",2533,0.030951440979076202,0.018314423237601393,0.36320568495854716,0.09040663245163838
Greedy,score,"(800.0, 1000.0]",226,0.051327433628318576,0.03418199062204591,0.4026548672566372,0.12389380530973451
Myopic,score,"(-0.001, 500.0]",64,0.014062500000000002,-0.02372524434156377,0.09375,0.203125
Myopic,score,"(500.0, 650.0]",1633,0.05033680342927127,0.02046885636658034,0.32455603184323334,0.17085119412124924
Myopic,score,"(650.0, 800.0]",2527,0.05464978235061336,0.029800263509209602,0.3407202216066482,0.1369212504946577
Myopic,score,"(800.0, 1000.0]",226,0.06283185840707962,0.04062067102817703,0.3495575221238938,0.11946902654867257
PPO_hard,score,"(-0.001, 500.0]",175,-0.11257142857142846,-0.11142857142857131,0.0,0.0
PPO_hard,score,"(500.0, 650.0]",4262,-0.11616611919286711,-0.09973444782811222,0.0,0.0
PPO_hard,score,"(650.0, 800.0]",6971,-0.11282455888681671,-0.08761401865021787,0.0,0.00014345144168698896
PPO_hard,score,"(800.0, 1000.0]",665,-0.10751879699248114,-0.07722901397884882,0.0,0.0030075187969924814
PPO_penalty,score,"(-0.001, 500.0]",123,-0.19999999999999987,-0.19512195121951206,0.0,0.0
PPO_penalty,score,"(500.0, 650.0]",3687,-0.1999999999999999,-0.1489907270608297,0.0,0.0
PPO_penalty,score,"(650.0, 800.0]",6468,-0.19999999999999993,-0.12348839051688866,0.0,0.0
PPO_penalty,score,"(800.0, 1000.0]",651,-0.19999999999999993,-0.1084837447053548,0.0,0.0
PPO_unconstrained,score,"(-0.001, 500.0]",123,-0.19999999999999987,-0.19512195121951206,0.0,0.0
PPO_unconstrained,score,"(500.0, 650.0]",3687,-0.1999999999999999,-0.1489907270608297,0.0,0.0
PPO_unconstrained,score,"(650.0, 800.0]",6468,-0.19999999999999993,-0.12348839051688866,0.0,0.0
PPO_unconstrained,score,"(800.0, 1000.0]",651,-0.19999999999999993,-0.1084837447053548,0.0,0.0
RiskBased,score,"(-0.001, 500.0]",67,-0.09402985074626853,-0.09402985074626853,0.0,0.0
RiskBased,score,"(500.0, 650.0]",1454,-0.07097661623108657,-0.07162131027185262,0.02200825309491059,0.006189821182943604
RiskBased,score,"(650.0, 800.0]",2406,-0.008312551953449685,-0.010030516185375645,0.11679135494596841,0.012468827930174564
RiskBased,score,"(800.0, 1000.0]",224,0.03928571428571429,0.026865284754909322,0.29910714285714285,0.10714285714285714
Static,score,"(-0.001, 500.0]",77,0.0,0.0,0.0,0.0
Static,score,"(500.0, 650.0]",1527,0.0,0.0,0.0,0.0
Static,score,"(650.0, 800.0]",2411,0.0,0.0,0.0,0.0
Static,score,"(800.0, 1000.0]",226,0.0,0.0,0.0,0.0
BufferedRiskBased,remaining_fraction,"(-0.001, 0.01]",1262,-0.05103011093502371,-0.0560221870047543,0.000792393026941363,0.04992076069730586
BufferedRiskBased,remaining_fraction,"(0.01, 0.25]",518,-0.03803088803088798,-0.038137691370481085,0.10424710424710425,0.0
BufferedRiskBased,remaining_fraction,"(0.25, 0.5]",597,-0.023785594639865952,-0.02412903454221522,0.1574539363484087,0.0
BufferedRiskBased,remaining_fraction,"(0.5, 0.75]",926,-0.021598272138228902,-0.022058452787219237,0.11663066954643629,0.0
BufferedRiskBased,remaining_fraction,"(0.75, 1.01]",848,-0.0028301886792452646,-0.0038520026646358366,0.14504716981132076,0.0
Decrease20,remaining_fraction,"(-0.001, 0.01]",776,-0.1999999999999999,-0.19974226804123701,0.0,0.001288659793814433
Decrease20,remaining_fraction,"(0.01, 0.25]",436,-0.19999999999999987,-0.19999999999999987,0.0,0.0
Decrease20,remaining_fraction,"(0.25, 0.5]",269,-0.19999999999999987,-0.19874562687695665,0.0,0.0037174721189591076
Decrease20,remaining_fraction,"(0.5, 0.75]",447,-0.19999999999999987,-0.1877535014801184,0.0,0.0
Decrease20,remaining_fraction,"(0.75, 1.01]",1715,-0.19999999999999987,-0.05906889639750406,0.0,0.0
Greedy,remaining_fraction,"(-0.001, 0.01]",2102,-9.514747859180473e-05,-0.020159997154743734,0.014747859181731684,0.19743101807802094
Greedy,remaining_fraction,"(0.01, 0.25]",826,0.05230024213075061,0.04707260859208732,0.6501210653753027,0.0
Greedy,remaining_fraction,"(0.25, 0.5]",656,0.05198170731707318,0.04649713913953923,0.6158536585365854,0.0
Greedy,remaining_fraction,"(0.5, 0.75]",569,0.0546572934973638,0.04762806106408157,0.6291739894551845,0.0
Greedy,remaining_fraction,"(0.75, 1.01]",305,0.054098360655737705,0.04693600307463403,0.6327868852459017,0.0
Myopic,remaining_fraction,"(-0.001, 0.01]",2021,-0.009203364670954955,-0.06372532849524436,0.017812963879267688,0.32409698169223156
Myopic,remaining_fraction,"(0.01, 0.25]",1003,0.10289132602193415,0.09872064025421422,0.6161515453639083,0.00897308075772682
Myopic,remaining_fraction,"(0.25, 0.5]",595,0.09798319327731088,0.09512825410968166,0.5394957983193277,0.0016806722689075631
Myopic,remaining_fraction,"(0.5, 0.75]",583,0.10531732418524867,0.10217960527326496,0.5763293310463122,0.0
Myopic,remaining_fraction,"(0.75, 1.01]",248,0.12540322580645155,0.12093883061792013,0.6653225806451613,0.0
PPO_hard,remaining_fraction,"(-0.001, 0.01]",2891,-0.1421307506053268,-0.1420615703908681,0.0,0.0003459010722933241
PPO_hard,remaining_fraction,"(0.01, 0.25]",1264,-0.1457278481012657,-0.1457278481012657,0.0,0.0
PPO_hard,remaining_fraction,"(0.25, 0.5]",927,-0.12427184466019409,-0.12379997155329157,0.0,0.002157497303128371
PPO_hard,remaining_fraction,"(0.5, 0.75]",2019,-0.08048538880633972,-0.07777405406716832,0.0,0.0
PPO_hard,remaining_fraction,"(0.75, 1.01]",4972,-0.10056315366049874,-0.048269196733407814,0.0,0.0
PPO_penalty,remaining_fraction,"(-0.001, 0.01]",2328,-0.1999999999999999,-0.1999999999999999,0.0,0.0
PPO_penalty,remaining_fraction,"(0.01, 0.25]",1308,-0.19999999999999993,-0.19999999999999993,0.0,0.0
PPO_penalty,remaining_fraction,"(0.25, 0.5]",807,-0.1999999999999999,-0.19948912130074847,0.0,0.0
PPO_penalty,remaining_fraction,"(0.5, 0.75]",1341,-0.19999999999999996,-0.18775350148011843,0.0,0.0
PPO_penalty,remaining_fraction,"(0.75, 1.01]",5145,-0.1999999999999999,-0.05883566024590056,0.0,0.0
PPO_unconstrained,remaining_fraction,"(-0.001, 0.01]",2328,-0.1999999999999999,-0.1999999999999999,0.0,0.0
PPO_unconstrained,remaining_fraction,"(0.01, 0.25]",1308,-0.19999999999999993,-0.19999999999999993,0.0,0.0
PPO_unconstrained,remaining_fraction,"(0.25, 0.5]",807,-0.1999999999999999,-0.19948912130074847,0.0,0.0
PPO_unconstrained,remaining_fraction,"(0.5, 0.75]",1341,-0.19999999999999996,-0.18775350148011843,0.0,0.0
PPO_unconstrained,remaining_fraction,"(0.75, 1.01]",5145,-0.1999999999999999,-0.05883566024590056,0.0,0.0
RiskBased,remaining_fraction,"(-0.001, 0.01]",1262,-0.05103011093502371,-0.0560221870047543,0.000792393026941363,0.04992076069730586
RiskBased,remaining_fraction,"(0.01, 0.25]",518,-0.03803088803088798,-0.038137691370481085,0.10424710424710425,0.0
RiskBased,remaining_fraction,"(0.25, 0.5]",597,-0.023785594639865952,-0.02412903454221522,0.1574539363484087,0.0
RiskBased,remaining_fraction,"(0.5, 0.75]",926,-0.021598272138228902,-0.022058452787219237,0.11663066954643629,0.0
RiskBased,remaining_fraction,"(0.75, 1.01]",848,-0.0028301886792452646,-0.0038520026646358366,0.14504716981132076,0.0
Static,remaining_fraction,"(-0.001, 0.01]",2120,0.0,0.0,0.0,0.0
Static,remaining_fraction,"(0.01, 0.25]",644,0.0,0.0,0.0,0.0
Static,remaining_fraction,"(0.25, 0.5]",642,0.0,0.0,0.0,0.0
Static,remaining_fraction,"(0.5, 0.75]",505,0.0,0.0,0.0,0.0
Static,remaining_fraction,"(0.75, 1.01]",330,0.0,0.0,0.0,0.0
