case,policy,metric,mean,lower,upper,portfolio_sd,training_seed_sd
pd_noise,BufferedRiskBased,value,-735.1350846073367,-997.5590198892181,-482.6243380270518,432.67325856587524,0.0
pd_noise,BufferedRiskBased,loss,1528.9016352589092,1320.7460758938523,1748.9180020204876,355.3422928542826,0.0
pd_noise,BufferedRiskBased,default_rate,0.6041666666666667,0.53125,0.6770833333333333,0.11572751247156893,0.0
pd_noise,BufferedRiskBased,el_violation_rate,0.2604166666666667,0.21354166666666666,0.30208333333333337,0.06588078458684124,0.0
pd_noise,BufferedRiskBased,true_violation_rate,0.09895833333333329,0.062499999999999944,0.14583333333333326,0.06658290869403896,0.0
pd_noise,Decrease20,value,-796.5915465311973,-1003.1287719161971,-616.5231007353024,319.63485757479305,0.0
pd_noise,Decrease20,loss,1138.5464468706296,974.780925863006,1347.6632892920595,304.7900409398794,0.0
pd_noise,Decrease20,default_rate,0.6979166666666666,0.6666666666666666,0.7291666666666667,0.06200198409523708,0.0
pd_noise,Decrease20,el_violation_rate,0.13541666666666663,0.08854166666666664,0.18229166666666663,0.073022881823722,0.0
pd_noise,Decrease20,true_violation_rate,0.08333333333333329,0.057291666666666616,0.11210937499999984,0.044543540318737404,0.0
pd_noise,Greedy,value,-855.9640777232744,-931.9879353039364,-780.9731048733365,126.17418482887396,0.0
pd_noise,Greedy,loss,1764.9765123083068,1688.7271894512166,1846.4573458695952,126.68752218269795,0.0
pd_noise,Greedy,default_rate,0.5625,0.5,0.6354166666666666,0.10681165741027596,0.0
pd_noise,Greedy,el_violation_rate,0.42708333333333337,0.35416666666666663,0.502734375,0.12147816447594377,0.0
pd_noise,Greedy,true_violation_rate,0.1510416666666666,0.11979166666666663,0.17981770833333316,0.049488955798559185,0.0
pd_noise,Myopic,value,-960.0806977281756,-1188.095981800004,-738.4925212045786,367.0943241746847,0.0
pd_noise,Myopic,loss,1915.9983393591338,1750.4001332042976,2104.0449199330824,298.61702439056444,0.0
pd_noise,Myopic,default_rate,0.5833333333333333,0.5,0.6666666666666667,0.14085904245475278,0.0
pd_noise,Myopic,el_violation_rate,0.44270833333333337,0.3802083333333333,0.5,0.09432692852226476,0.0
pd_noise,Myopic,true_violation_rate,0.17708333333333331,0.13541666666666663,0.22395833333333334,0.06954358003302337,0.0
pd_noise,PPO_hard,value,-712.1927733143934,-925.6507957020774,-508.57412695883426,308.77518892754426,122.26111751138555
pd_noise,PPO_hard,loss,1221.554667419352,1038.5717153646099,1417.781265802615,290.70871547288147,89.10340053580403
pd_noise,PPO_hard,default_rate,0.638888888888889,0.5694444444444445,0.6979166666666666,0.06964257450311205,0.05345418166090502
