case,kind,policy,value,revenue,loss,portfolio_loss,reward,default_rate,delinquent_rate,mean_ead,mean_el,budget_utilization,el_violation_rate,any_violation_rate,violation_magnitude,worst_violation,inherited_violation_rate,top_decile_el_share,high_risk_share,increase_rate,decrease_rate,rejection_rate,hard_nonworsening,value_per_ead,decisions,portfolio_months,seconds,solver_exact_fraction,distinct_increase_share,reversals_per_customer,limit_growth,stress_loss,ead_before_stress,true_violation_rate,predicted_safe_true_violated_rate,predicted_violated_true_safe_rate,both_violated_rate,both_safe_rate,true_el_mc_se
normal_loose,main,PPO_hard,-610.0855733422082,559.0093023848879,1085.8535468966536,13030.242562759844,-610.0855733422082,0.6342592592592592,0.19427860553570045,1552.3681923355434,59.25087836026196,0.24687865983442478,0.018518518518518507,0.02083333333333332,0.6599063748422573,6.813544886939501,0.02488425925925925,0.49850313763361115,0.24509298386582756,0.0,0.6374729538181075,0.0003838617207889431,1.0,-0.4700698174973817,168.0,24.0,0.5027607194529587,,0.0,0.0,-0.908156697098189,0.0,,0.02893518518518517,0.017939814814814804,0.00752314814814814,0.010995370370370364,0.9635416666666666,1.3576890354658213
normal_loose,main,PPO_penalty,-696.7633584729855,374.65574642593657,1014.5504401678603,12174.605282014323,-697.5072788387721,0.6944444444444445,0.201863909681788,1073.8932159567437,45.21612012624774,0.1884005005260322,0.003472222222222217,0.010416666666666656,0.06199336381555673,1.4878407315733615,0.012152777777777768,0.5445368841294002,0.23738537127015558,0.0,0.6854002543101215,0.0,0.9166666666666666,-0.6875890891387072,151.79166666666666,24.0,0.4540319652797835,,0.0,0.0,-0.9721601969035096,0.0,,0.024305555555555542,0.024305555555555542,0.003472222222222217,0.0,0.9722222222222222,1.1307301589036713
normal_loose,main,PPO_unconstrained,-696.7633584729855,374.65574642593657,1014.5504401678603,12174.605282014323,-696.7633584729855,0.6944444444444445,0.201863909681788,1073.8932159567437,45.21612012624774,0.1884005005260322,0.003472222222222217,0.010416666666666656,0.06199336381555673,1.4878407315733615,0.012152777777777768,0.5445368841294002,0.23738537127015558,0.0,0.6854002543101215,0.0,0.9166666666666666,-0.6875890891387072,151.79166666666666,24.0,0.44467673471242763,,0.0,0.0,-0.9721601969035096,0.0,,0.024305555555555542,0.024305555555555542,0.003472222222222217,0.0,0.9722222222222222,1.1307301589036713
normal_loose,main,RiskBased,-679.266990252925,824.497771607209,1381.9391362264407,16583.26963471729,-679.266990252925,0.625,0.182842596265989,2944.815271054187,85.35752341335815,0.35565634755565895,0.03993055555555554,0.045138888888888874,1.5485108572742803,16.381225665298178,0.04687499999999999,0.4613674345947394,0.22114489282875757,0.08959040082008811,0.41366302281031175,0.002347238334458929,1.0,-0.2902971390435707,172.95833333333334,24.0,0.49145424165665946,1.0,0.21874999999999997,0.1284722222222222,-0.5659126092374852,0.0,,0.03819444444444443,0.012152777777777768,0.013888888888888876,0.026041666666666647,0.9479166666666666,1.8677176807268998
normal_loose,main,Static,-1251.7824945119698,994.5906189466356,2095.1533614480763,25141.840337376914,-1251.7824945119698,0.625,0.17626585075022197,3343.7958683976062,130.51058080594325,0.5437940866914303,0.11111111111111109,0.14062499999999997,6.710514900745765,61.32172339971995,0.11111111111111109,0.5071012121980776,0.35324966180945155,0.0,0.0,0.0,1.0,-0.42265208923056696,176.70833333333334,24.0,0.47987792085526354,1.0,0.0,0.0,-0.6134554435673493,0.0,,0.0972222222222222,0.039930555555555525,0.05381944444444442,0.05729166666666664,0.8489583333333334,2.9163271930051757
normal_medium,main,BufferedRiskBased,-679.3748622576726,824.5774060742339,1382.1056313731744,16585.267576478098,-679.3748622576726,0.625,0.182842596265989,2908.5526342686476,85.1792980888698,0.567861987259132,0.19270833333333334,0.19618055555555555,10.914106610681964,74.575449974855,0.20486111111111108,0.461148215939017,0.22232978294419867,0.08678887801498197,0.4134607574381435,0.015173104874016791,1.0,-0.29371027893046675,172.95833333333334,24.0,0.4597460791701451,1.0,0.21874999999999997,0.1284722222222222,-0.5683345425943394,0.0,,0.10763888888888885,0.02256944444444442,0.10763888888888885,0.08506944444444442,0.7847222222222222,1.868635533542393
normal_medium,main,Decrease20,-696.5574782007775,374.89239090619026,1014.5504401678603,12174.605282014323,-696.5574782007775,0.6944444444444445,0.201863909681788,1074.4814324981746,45.2243152530474,0.301495435020316,0.10763888888888885,0.11111111111111109,4.332895972738588,42.190151868015164,0.12499999999999996,0.5456799270369179,0.23708966544845178,0.0,0.6854002543101215,0.0007264150943396209,1.0,-0.686502086561119,151.79166666666666,24.0,0.3846851083459721,1.0,0.0,0.0,-0.9721601969035096,0.0,,0.07291666666666664,0.029513888888888867,0.06423611111111109,0.04340277777777776,0.8628472222222222,1.131491327067245
normal_medium,main,Greedy,-857.7171047346137,941.7443637778944,1659.8771592629155,19918.525911154986,-857.7171047346137,0.5659722222222222,0.16092186394503827,3959.066984116324,129.4398349429838,0.8629322329532254,0.3645833333333333,0.3645833333333333,22.235472428348373,122.89101742212627,0.3680555555555556,0.48700951369538426,0.28176921971637175,0.34053699617166594,0.11229616622497947,0.09706092447387149,1.0,-0.2651650036284529,185.75,24.0,0.5357724874823665,0.0,0.78125,1.3645833333333333,-0.1945499490228123,0.0,,0.14409722222222218,0.015624999999999984,0.23611111111111108,0.12847222222222218,0.6197916666666666,2.3842185895617587
normal_medium,main,Myopic,-822.8083379688641,984.2176655830021,1661.009617085532,19932.115405026383,-822.8083379688641,0.5659722222222222,0.15953416247892274,4022.4369365773787,129.1476230654767,0.8609841537698446,0.3333333333333333,0.3333333333333333,18.196568873168868,103.00091692733714,0.3524305555555555,0.480603168488166,0.2964686440696201,0.33190828992816157,0.21463931067341327,0.15223096325045907,1.0,-0.25764166171182457,185.41666666666666,24.0,0.8404244749884432,1.0,0.8055555555555555,2.3541666666666665,-0.12443508322318247,0.0,,0.15277777777777776,0.02256944444444442,0.203125,0.1302083333333333,0.6440972222222222,2.4897036950870395
normal_medium,main,PPO_hard,-613.3953804301697,554.7779617022006,1085.5283322722883,13026.339987267458,-613.3953804301697,0.6365740740740741,0.19636859514589045,1540.1536573989222,59.07748559950829,0.3938499039967219,0.13831018518518515,0.14062499999999997,7.20359931863113,55.21671150650908,0.15567129629629625,0.500406092155136,0.24273983584691297,0.0,0.6401259595942091,0.0003838617207889431,1.0,-0.4760586042556733,167.68055555555554,24.0,0.4894773958351126,,0.0,0.0,-0.9114811566311691,0.0,,0.0827546296296296,0.02256944444444443,0.07812499999999996,0.060185185185185154,0.8391203703703703,1.351732506845558
