policy,reference,scenario,metric,difference,lower,upper,fraction_customers_positive,information_set
PPO,MyopicEconomic,mild_stress,net_economic_value,637.8590524031054,411.95254858601925,851.0781963175546,0.57,OBSERVABLE_ONLY
PPO,MyopicEconomic,mild_stress,credit_loss,-1127.7090200666128,-1333.2626864603446,-922.8900668189394,0.17666666666666667,OBSERVABLE_ONLY
PPO,MyopicEconomic,mild_stress,defaulted,0.15666666666666668,0.11491666666666667,0.20333333333333334,0.16333333333333333,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,mild_stress,cumulative_reward,3100.3084707672274,2638.172171854405,3566.261257193028,0.77,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,mild_stress,net_economic_value,637.8590524031054,411.95254858601925,851.0781963175546,0.57,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,mild_stress,credit_loss,-1127.7090200666128,-1333.2626864603446,-922.8900668189394,0.17666666666666667,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,mild_stress,defaulted,0.15666666666666668,0.11491666666666667,0.20333333333333334,0.16333333333333333,OBSERVABLE_ONLY
Random,MyopicEconomic,mild_stress,cumulative_reward,492.81762012520613,154.28941582092054,824.6429642058516,0.41333333333333333,OBSERVABLE_ONLY
Random,MyopicEconomic,mild_stress,net_economic_value,44.66410636866227,-124.53893266274974,191.96848885710747,0.5666666666666667,OBSERVABLE_ONLY
Random,MyopicEconomic,mild_stress,credit_loss,-141.42745288555176,-287.85668854407265,16.941008792657968,0.3466666666666667,OBSERVABLE_ONLY
Random,MyopicEconomic,mild_stress,defaulted,0.07333333333333333,0.043333333333333335,0.11,0.07666666666666666,OBSERVABLE_ONLY
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,mild_stress,cumulative_reward,570.0464639405129,323.19329401638674,850.3630200284069,0.36,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,mild_stress,net_economic_value,136.00944800383917,10.761526139247497,279.9672549125882,0.48,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,mild_stress,credit_loss,-202.32128856817027,-334.8593602021377,-85.6454948388498,0.23,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,mild_stress,defaulted,-0.0033333333333333335,-0.023333333333333334,0.016666666666666666,0.013333333333333334,SIMULATOR_ONLY_ORACLE
Static,MyopicEconomic,mild_stress,cumulative_reward,-129.00885227727687,-467.15262427501784,144.06320518992464,0.3466666666666667,OBSERVABLE_ONLY
Static,MyopicEconomic,mild_stress,net_economic_value,-89.69490795941337,-247.56388529339057,63.6016892152358,0.5866666666666667,OBSERVABLE_ONLY
Static,MyopicEconomic,mild_stress,credit_loss,56.26021179958533,-84.93549612794124,198.5992237922787,0.3933333333333333,OBSERVABLE_ONLY
Static,MyopicEconomic,mild_stress,defaulted,0.06666666666666667,0.03666666666666667,0.1,0.07333333333333333,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,mild_stress,cumulative_reward,1683.7111708968778,1321.2373016113338,2030.2176008500405,0.6166666666666667,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,mild_stress,net_economic_value,399.65824643515003,202.91024086161917,554.8712891207106,0.6666666666666666,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,mild_stress,credit_loss,-609.2623387202104,-774.5283774877887,-427.88396647600626,0.22,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,mild_stress,defaulted,0.09,0.056666666666666664,0.12666666666666668,0.09333333333333334,OBSERVABLE_ONLY
AlwaysDecrease,Static,oot_markov,cumulative_reward,2130.033593285918,1828.4579975315892,2497.7155095787025,0.8066666666666666,OBSERVABLE_ONLY
AlwaysDecrease,Static,oot_markov,net_economic_value,602.3410063016308,464.11263384976695,767.9987621688149,0.66,OBSERVABLE_ONLY
AlwaysDecrease,Static,oot_markov,credit_loss,-885.5574655855244,-1044.8203040727851,-754.5555288415989,0.06333333333333334,OBSERVABLE_ONLY
AlwaysDecrease,Static,oot_markov,defaulted,0.006666666666666667,-0.02666666666666667,0.04,0.04666666666666667,OBSERVABLE_ONLY
AlwaysDecrease20,Static,oot_markov,cumulative_reward,2771.2664291145334,2449.390417751803,3175.048788984645,0.8533333333333334,OBSERVABLE_ONLY
AlwaysDecrease20,Static,oot_markov,net_economic_value,567.4060018371573,414.00404178505005,718.5622566205963,0.6666666666666666,OBSERVABLE_ONLY
AlwaysDecrease20,Static,oot_markov,credit_loss,-1022.0402983817544,-1169.3792419896722,-880.0714147900339,0.09666666666666666,OBSERVABLE_ONLY
AlwaysDecrease20,Static,oot_markov,defaulted,0.07,0.03333333333333333,0.10333333333333333,0.09,OBSERVABLE_ONLY
AlwaysIncrease,Static,oot_markov,cumulative_reward,-956.7889864198495,-1335.1335630009737,-696.9032997021793,0.45,OBSERVABLE_ONLY
AlwaysIncrease,Static,oot_markov,net_economic_value,-410.9171377357346,-598.1573548537932,-257.5369854759336,0.22333333333333333,OBSERVABLE_ONLY
AlwaysIncrease,Static,oot_markov,credit_loss,491.224555773298,348.9445446532426,681.2048590802509,0.49,OBSERVABLE_ONLY
AlwaysIncrease,Static,oot_markov,defaulted,-0.056666666666666664,-0.08333333333333333,-0.03,0.006666666666666667,OBSERVABLE_ONLY
MyopicEconomic,Static,oot_markov,cumulative_reward,-313.931514453915,-622.4183232642639,-16.788768302220916,0.5766666666666667,OBSERVABLE_ONLY
MyopicEconomic,Static,oot_markov,net_economic_value,-76.22371677780197,-228.32744874653133,85.08361787041298,0.33,OBSERVABLE_ONLY
MyopicEconomic,Static,oot_markov,credit_loss,138.36295633888545,-22.324091002901117,293.1065711442773,0.36333333333333334,OBSERVABLE_ONLY
MyopicEconomic,Static,oot_markov,defaulted,-0.07666666666666666,-0.10508333333333333,-0.04825000000000008,0.0033333333333333335,OBSERVABLE_ONLY
PDThreshold,Static,oot_markov,cumulative_reward,1597.2616193222275,1338.0478692936042,1875.3809441407577,0.8166666666666667,OBSERVABLE_ONLY
PDThreshold,Static,oot_markov,net_economic_value,561.5958289107816,433.48772920739526,685.778822731782,0.69,OBSERVABLE_ONLY
PDThreshold,Static,oot_markov,credit_loss,-688.0419178325592,-818.5181226914522,-557.0231767421444,0.043333333333333335,OBSERVABLE_ONLY
PDThreshold,Static,oot_markov,defaulted,-0.006666666666666667,-0.03,0.02,0.023333333333333334,OBSERVABLE_ONLY
