model,sample,n_obs,n_defaults,default_rate,mean_predicted_pd,roc_auc,pr_auc,brier,log_loss,ece,roc_auc_lower,roc_auc_upper,roc_auc_bootstrap_valid,brier_lower,brier_upper,brier_bootstrap_valid,pr_auc_lower,pr_auc_upper,pr_auc_bootstrap_valid,log_loss_lower,log_loss_upper,log_loss_bootstrap_valid
logistic,severe_stress_behavior,7896,6062,0.7677304964539007,0.5836313809158066,0.8074881981070199,0.9275049681802403,0.1808419154447032,0.5312915000410179,0.1840991155380942,0.774565342202906,0.8353406376338199,200,0.1724634306635781,0.19081472168908467,200,0.9107534540743658,0.9439577093285488,200,0.5086674072812065,0.5565299775983559,200
logistic_calibrated,severe_stress_behavior,7896,6062,0.7677304964539007,0.6279207477307073,0.8074881981070199,0.9275049681802403,0.16366827654815486,0.48946576010462794,0.1398097487231933,0.774565342202906,0.8353406376338199,200,0.1546763304604547,0.1741027575353434,200,0.9107534540743658,0.9439577093285488,200,0.46522190072665487,0.517634936189656,200
boosting,severe_stress_behavior,7896,6062,0.7677304964539007,0.49255666315064633,0.848080467664738,0.9451420100197115,0.21819855859253987,0.6403665924472604,0.2751738333032544,0.8214063323342128,0.8718079533164855,200,0.205353085627838,0.23028425054304852,200,0.9306864296770959,0.9573190946701672,200,0.6024046198838222,0.6713226182265063,200
boosting_calibrated,severe_stress_behavior,7896,6062,0.7677304964539007,0.5465265331045547,0.848080467664738,0.9451420100197115,0.1858851936898979,0.551945347178401,0.22120396334934603,0.8214063323342128,0.8718079533164855,200,0.17459165982769945,0.19708790541573373,200,0.9306864296770959,0.9573190946701672,200,0.5215789825609655,0.5802363477683141,200
constant,baseline_static,9922,4377,0.4411408990122959,0.4339842027184155,0.5,0.4411408990122959,0.2465868245327621,0.686306425135442,0.007156696293880438,0.5,0.5,200,0.24317450660617337,0.2507639609543019,200,0.41529619163086584,0.4727782994039221,200,0.6794417128014905,0.6947097569850653,200
logistic,baseline_static,9922,4377,0.4411408990122959,0.4474791970803711,0.8267809866848452,0.8008755893977172,0.1679881897335808,0.5012647313142149,0.018754276768268244,0.806244499008247,0.845058219420441,200,0.15973450448641296,0.17815581312704692,200,0.7722998443993753,0.8270983955263778,200,0.48020487344039064,0.5274289137918119,200
logistic_calibrated,baseline_static,9922,4377,0.4411408990122959,0.4908436587394018,0.8267809866848452,0.8008755893977172,0.1717313023573466,0.509194462407431,0.051726537158693055,0.806244499008247,0.845058219420441,200,0.16207510516030943,0.18236290214592274,200,0.7722998443993753,0.8270983955263778,200,0.48395760004949184,0.5365777518535018,200
boosting,baseline_static,9922,4377,0.4411408990122959,0.4481796954232584,0.8392965688955691,0.8190955021778847,0.16216160729838427,0.4884426445825556,0.028255854063146305,0.819475410986599,0.8561443285294814,200,0.15323149417710316,0.17309135592880312,200,0.7892139595935609,0.8432118563594311,200,0.46481587570481725,0.516554837482448,200
boosting_calibrated,baseline_static,9922,4377,0.4411408990122959,0.5010426972381126,0.8392965688955691,0.8190955021778847,0.166712555791584,0.49907321105116337,0.05990179822581666,0.819475410986599,0.8561443285294814,200,0.15650800774468285,0.17843768240491784,200,0.7892139595935609,0.8432118563594311,200,0.47368296007291005,0.5267865934046343,200
constant,baseline_always_increase,10429,3811,0.3654233387669,0.43398420271841537,0.5,0.3654233387669,0.23658971431712966,0.666194792140643,0.06856086395151545,0.5,0.5,200,0.23299493272659608,0.24061551107872634,200,0.3381966616792905,0.39591450093847064,200,0.6589630095068755,0.6742936672389968,200
logistic,baseline_always_increase,10429,3811,0.3654233387669,0.43131301442993913,0.8341513753628992,0.7653566218631327,0.16184614762154673,0.4872036312532727,0.06588967566303912,0.8144707520195582,0.8529060766530342,200,0.15299264521127526,0.1708040160988433,200,0.7321501434275284,0.794799949604198,200,0.4639644605918628,0.5116795958623901,200
logistic_calibrated,baseline_always_increase,10429,3811,0.3654233387669,0.4734998291803076,0.8341513753628992,0.7653566218631327,0.17173279592332352,0.5107501676645673,0.10807649041340761,0.8144707520195582,0.8529060766530342,200,0.16317511133997706,0.1815061859961293,200,0.7321501434275284,0.794799949604198,200,0.48686014186993115,0.5376993888158677,200
boosting,baseline_always_increase,10429,3811,0.3654233387669,0.4324322734261245,0.8373949365926234,0.7797404043619287,0.16039608330206462,0.4836769098784957,0.06740215756755907,0.8185661998137637,0.8585826756953835,200,0.14901279251446278,0.1705297978999522,200,0.7458125877926973,0.8066875102187938,200,0.45524813179249474,0.5099888610988343,200
boosting_calibrated,baseline_always_increase,10429,3811,0.3654233387669,0.4862189618182995,0.8373949365926234,0.7797404043619287,0.17309564978478406,0.5149485445698394,0.12079562305139946,0.8185661998137637,0.8585826756953835,200,0.16199189119354196,0.18403452641375379,200,0.7458125877926973,0.8066875102187938,200,0.4864155999366818,0.5418863629713722,200
constant,baseline_always_decrease,8790,4719,0.5368600682593857,0.4339842027184155,0.5,0.5368600682593857,0.2592247790787172,0.7117307625840537,0.10287586554097022,0.5,0.5,200,0.2556381383797226,0.26392720780962686,200,0.5096950498343557,0.5724760035699289,200,0.7045153573452885,0.7211908484268976,200
logistic,baseline_always_decrease,8790,4719,0.5368600682593857,0.4468921641281553,0.8590307067563047,0.877945595231328,0.16279438950333627,0.4914969213359529,0.08996790413123035,0.8416703767742911,0.8737733451421955,200,0.15424440714774068,0.17216945537715814,200,0.8583471510863816,0.8955592724209238,200,0.46972697741196634,0.5179628429577836,200
logistic_calibrated,baseline_always_decrease,8790,4719,0.5368600682593857,0.49071917644650653,0.8590307067563047,0.877945595231328,0.1553664103077288,0.4726520763156943,0.04616254387135275,0.8416703767742911,0.8737733451421955,200,0.14708406921922726,0.16419515136265533,200,0.8583471510863816,0.8955592724209238,200,0.4502905392536274,0.49578014125332337,200
boosting,baseline_always_decrease,8790,4719,0.5368600682593857,0.44716330533318505,0.8400587078821151,0.8636048425014121,0.172571099715236,0.515784711727034,0.08969676292620059,0.8202903024014934,0.8570202951423238,200,0.16437017382155583,0.1825907415783383,200,0.8404569944484968,0.8834837923494888,200,0.4943009804069946,0.5409270311768255,200
boosting_calibrated,baseline_always_decrease,8790,4719,0.5368600682593857,0.5050946964005961,0.8400587078821151,0.8636048425014121,0.16418644250821718,0.49495669001938064,0.038511872429234144,0.8202903024014934,0.8570202951423238,200,0.15599288697718047,0.17351927968650802,200,0.8404569944484968,0.8834837923494888,200,0.47502863482450364,0.5172714987107582,200
