world_id,policy,parameter,endpoint,parameter_value,value,delta_static,delta_myopic
oat_default_months_delinquent_high,SIMULATOR_ONLY_ORACLE_Myopic,default.months_delinquent,high,0.85,-1580.4151666818846,278.8715731701609,0.6068470645795969
oat_default_months_delinquent_high,Static,default.months_delinquent,high,0.85,-1859.2867398520455,0.0,-278.2647261055813
oat_default_months_delinquent_high,UtilizationPD,default.months_delinquent,high,0.85,-1087.6044488386874,771.682291013358,493.41756490777675
oat_default_months_delinquent_low,AlwaysDecrease,default.months_delinquent,low,0.45,-852.633704333887,884.5865235269277,726.9915476484305
oat_default_months_delinquent_low,AlwaysDecrease20,default.months_delinquent,low,0.45,-790.8851797154367,946.335048145378,788.7400722668807
oat_default_months_delinquent_low,AlwaysIncrease,default.months_delinquent,low,0.45,-2186.802291606708,-449.58206374589327,-607.1770396243905
oat_default_months_delinquent_low,MyopicEconomic,default.months_delinquent,low,0.45,-1579.6252519823174,157.59497587849728,0.0
oat_default_months_delinquent_low,PDThreshold,default.months_delinquent,low,0.45,-986.6315137482702,750.5887141125445,592.9937382340472
oat_default_months_delinquent_low,PPO,default.months_delinquent,low,0.45,-790.8851797154367,946.335048145378,788.7400722668807
oat_default_months_delinquent_low,PPO_without_PD,default.months_delinquent,low,0.45,-790.8851797154367,946.335048145378,788.7400722668807
oat_default_months_delinquent_low,Random,default.months_delinquent,low,0.45,-1530.700429016715,206.5197988440998,48.924822965602516
oat_default_months_delinquent_low,SIMULATOR_ONLY_ORACLE_Myopic,default.months_delinquent,low,0.45,-1571.0311141664538,166.1891136943609,8.594137815863633
oat_default_months_delinquent_low,Static,default.months_delinquent,low,0.45,-1737.2202278608147,0.0,-157.59497587849728
oat_default_months_delinquent_low,UtilizationPD,default.months_delinquent,low,0.45,-991.2014198554436,746.018808005371,588.4238321268738
oat_default_stress_high,AlwaysDecrease,default.stress,high,1.3,-909.4275783597234,943.4581163752007,720.8973543213276
oat_default_stress_high,AlwaysDecrease20,default.stress,high,1.3,-796.8337644111527,1056.0519303237713,833.4911682698983
oat_default_stress_high,AlwaysIncrease,default.stress,high,1.3,-2178.680193743642,-325.79449900871805,-548.3552610625911
oat_default_stress_high,MyopicEconomic,default.stress,high,1.3,-1630.324932681051,222.56076205387308,0.0
oat_default_stress_high,PDThreshold,default.stress,high,1.3,-1139.4885706564999,713.3971240784242,490.83636202455114
oat_default_stress_high,PPO,default.stress,high,1.3,-796.8337644111527,1056.0519303237713,833.4911682698983
oat_default_stress_high,PPO_without_PD,default.stress,high,1.3,-796.8337644111527,1056.0519303237713,833.4911682698983
oat_default_stress_high,Random,default.stress,high,1.3,-1601.7148933653339,251.1708013695902,28.61003931571713
oat_default_stress_high,SIMULATOR_ONLY_ORACLE_Myopic,default.stress,high,1.3,-1636.1888030674966,216.6968916674275,-5.863870386445569
oat_default_stress_high,Static,default.stress,high,1.3,-1852.885694734924,0.0,-222.56076205387308
oat_default_stress_high,UtilizationPD,default.stress,high,1.3,-1126.244913295818,726.6407814391061,504.0800193852331
