policy,metric,worlds,mean,median,std,p10,p25,p75,p90,worst,worst_world,information_set
PPO_without_PD,credit_loss_rate,32,0.3953307296736608,0.38459367510475095,0.04100512760633587,0.3559091725340129,0.3678834112575075,0.410386035980604,0.4506526064912393,0.5086747014229329,random_028,OBSERVABLE_ONLY
PPO_without_PD,high_risk_exposure_share,32,0.374394419840275,0.36726859271006995,0.05895616412036353,0.30706082636271764,0.3278348235959654,0.4020385092842446,0.4676421326615243,0.5191615704878981,random_022,OBSERVABLE_ONLY
PPO_without_PD,cumulative_reward,32,-2323.2502664499543,-2287.5266812660666,190.12133845357477,-2664.506064596177,-2394.6138569092336,-2206.860118226141,-2113.84380966407,-2743.6065711618066,random_022,OBSERVABLE_ONLY
Random,net_economic_value,32,-1631.9585187944235,-1685.021480522916,269.4537845144489,-1906.3651949366879,-1845.0859029851886,-1509.993404455198,-1213.1473934249025,-2026.9847539629163,random_021,OBSERVABLE_ONLY
Random,default_rate,32,0.7939453125,0.8125,0.06936100147565377,0.6890625,0.75,0.84765625,0.875,0.90625,random_003,OBSERVABLE_ONLY
Random,credit_loss,32,2331.0563194278866,2382.838918715269,205.3338208463077,2009.010610389739,2233.4168699461243,2495.464266889037,2536.184694767944,2614.925130284144,random_003,OBSERVABLE_ONLY
Random,credit_loss_rate,32,0.8226709712599485,0.8409459656884704,0.07246593418626923,0.7090153491128459,0.7882122839820014,0.8806934414565992,0.8950644000962787,0.9228532913485681,random_003,OBSERVABLE_ONLY
Random,high_risk_exposure_share,32,0.46311219845047963,0.4564443724655841,0.056046715466713436,0.3916906579243609,0.42325742879987177,0.5004823253145974,0.5274268620467939,0.5829358417032802,random_022,OBSERVABLE_ONLY
Random,cumulative_reward,32,-5233.2851563855,-5227.572452563521,347.4061734310157,-5689.354291828128,-5437.752170958385,-4958.346348091665,-4869.163777191906,-6049.682959216772,random_022,OBSERVABLE_ONLY
SIMULATOR_ONLY_ORACLE_Myopic,net_economic_value,32,-1444.8667442277197,-1392.9887004067766,337.9298019191124,-1832.9833207034922,-1726.5100750992146,-1237.3102935048798,-970.6783230042989,-2152.351766826463,random_021,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,default_rate,32,0.7158203125,0.7109375,0.08460407039450613,0.625,0.65234375,0.78515625,0.828125,0.84375,random_003,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,credit_loss,32,2185.1204778742263,2231.660478937821,347.4470985262749,1702.1368272479988,1877.111460372757,2426.129939495205,2676.5598716694367,2751.361843469719,random_021,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,credit_loss_rate,32,0.7711676336906299,0.7875924225549433,0.12262022140941418,0.6007141677439672,0.6624658080535103,0.8562241319923225,0.9446052808377106,0.9710042186412385,random_021,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,high_risk_exposure_share,32,0.47066078901764197,0.46157051618749345,0.060352501771237334,0.4151369669601679,0.4373338239853455,0.501509918887837,0.5541126508377522,0.5940633374378216,random_021,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,cumulative_reward,32,-5208.348080440607,-5206.322233121495,791.1440206146495,-6065.009397073208,-5743.06552334342,-4592.241260089857,-4121.593502574301,-6823.0998521431875,random_001,SIMULATOR_ONLY_ORACLE
Static,net_economic_value,32,-1783.9973794321495,-1816.3944560863363,280.39989172845384,-2065.5814317234517,-2012.6666544855152,-1639.6083069795834,-1415.0315878950928,-2171.7988466157803,random_003,OBSERVABLE_ONLY
Static,default_rate,32,0.7890625,0.796875,0.07010217197868432,0.6875,0.7578125,0.84375,0.859375,0.90625,random_003,OBSERVABLE_ONLY
Static,credit_loss,32,2519.3585389184364,2554.3217294225997,218.67389178519923,2223.731051705992,2409.98563124204,2706.9112648197543,2765.032935822806,2826.846177074938,random_001,OBSERVABLE_ONLY
Static,credit_loss_rate,32,0.8891261523328426,0.9014652801568612,0.07717388097610398,0.7847939875501877,0.8505265202957459,0.9553168238724976,0.9758289887381955,0.997643973984926,random_001,OBSERVABLE_ONLY
Static,high_risk_exposure_share,32,0.49936652587244,0.4945547145637347,0.05359125955463675,0.4273356935028084,0.468147060741075,0.5333793033397081,0.5548692688225703,0.6379276663504926,random_022,OBSERVABLE_ONLY
Static,cumulative_reward,32,-5735.68227910942,-5705.223876581473,450.2254562024007,-6410.274298102232,-5966.055787145675,-5432.781835818118,-5237.586346530975,-6809.212419003061,random_001,OBSERVABLE_ONLY
UtilizationPD,net_economic_value,32,-1171.6041049878984,-1212.6631977324691,219.3614598077681,-1428.0444164214618,-1341.6457782109478,-1039.9032694001228,-908.3956198536594,-1542.1770399700094,random_021,OBSERVABLE_ONLY
UtilizationPD,default_rate,32,0.798828125,0.796875,0.06939647480762842,0.71875,0.74609375,0.859375,0.875,0.90625,random_003,OBSERVABLE_ONLY
UtilizationPD,credit_loss,32,1772.471280568714,1816.1038098976555,175.6224364204543,1537.2008765153514,1651.942296523691,1908.2033270858597,1983.9052388087691,2023.6037108974322,random_014,OBSERVABLE_ONLY
UtilizationPD,credit_loss_rate,32,0.6255364393227987,0.640935130028984,0.06198026154104825,0.5425053558615448,0.5829996307768646,0.6734386772947951,0.7001552198014153,0.7141655121819667,random_014,OBSERVABLE_ONLY
UtilizationPD,high_risk_exposure_share,32,0.40337891390685254,0.3967452664930665,0.05009321995098938,0.33671110212561944,0.37766578435723,0.41787653136998754,0.46514662470914936,0.5344165287241746,random_021,OBSERVABLE_ONLY
UtilizationPD,cumulative_reward,32,-4001.051282868086,-3914.6417268922132,262.8907583065701,-4383.139970779441,-4256.615809898502,-3760.6471449233336,-3717.167213137766,-4415.383426292141,random_001,OBSERVABLE_ONLY
