policy,policy_seed,replicate,metric,clipping,IS,WIS,ESS,mean_weight,max_weight,weight_p99,nonzero_weights,zero_weight_fraction,IS_lower,IS_upper,IS_valid_bootstraps,WIS_lower,WIS_upper,WIS_valid_bootstraps,unreliable,episodes,true_MC_value,MC_standard_error,MC_lower,MC_upper,customers,IS_error,IS_covers_MC_point,WIS_error,WIS_covers_MC_point
PPO,505,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO,505,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO,505,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO_without_PD,101,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO_without_PD,101,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO_without_PD,101,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO_without_PD,101,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO_without_PD,202,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO_without_PD,202,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO_without_PD,202,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO_without_PD,202,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO_without_PD,303,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
PPO_without_PD,303,0,net_economic_value,20.0,-31.680749228143284,-950.4224768442986,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-95.04224768442985,0.0,400,-950.4224768442986,-950.4224768442986,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,738.9211941859828,False,-179.82053343017242,False
PPO_without_PD,303,0,cumulative_reward,none,-192.62218171091277,-1597.6854239829956,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-577.8665451327383,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2106.271951527155,False,701.2087092550721,False
PPO_without_PD,303,0,cumulative_reward,20.0,-53.25618079943319,-1597.6854239829956,1.0,0.03333333333333333,20.0,0.0,1,0.9983333333333333,-159.76854239829956,0.0,400,-1597.6854239829956,-1597.6854239829956,255,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2245.637952438635,False,701.2087092550721,False
PPO_without_PD,404,0,net_economic_value,none,-114.58604321521729,-950.4224768442987,1.0,0.12056327160493822,72.33796296296293,0.0,1,0.9983333333333333,-343.7581296456519,0.0,400,-950.4224768442987,-950.4224768442987,255,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,656.0159001989089,False,-179.82053343017253,False
